,subj,pred,obj
12965,"Ullrich-Turner syndrome; Bonnevie-Ulrich syndrome; 45, X Syndrome;",same,Status epilepticus
12966,"Ullrich-Turner syndrome; Bonnevie-Ulrich syndrome; 45, X Syndrome;",same,Epilepsia partialis continua
12967,"Ullrich-Turner syndrome; Bonnevie-Ulrich syndrome; 45, X Syndrome;",same,Cerebral cortical neurodegeneration
12968,"Ullrich-Turner syndrome; Bonnevie-Ulrich syndrome; 45, X Syndrome;",same,Bile duct proliferation
12969,"Ullrich-Turner syndrome; Bonnevie-Ulrich syndrome; 45, X Syndrome;",same,3-Methylglutaconic aciduria
12970,"Ullrich-Turner syndrome; Bonnevie-Ulrich syndrome; 45, X Syndrome;",same,Progressive spasticity
12971,"Ullrich-Turner syndrome; Bonnevie-Ulrich syndrome; 45, X Syndrome;",same,Thoracic kyphoscoliosis
12972,"Premolar aplasia, hyperhidrosis, and canities prematura; PHC syndrome",same,Severe postnatal growth retardation
12973,"Dwarfism with short, bowed, rigid limbs and characteristic facies; Boomerang-like skeletal dysplasia",same,Large fleshy ears
12974,"Dwarfism with short, bowed, rigid limbs and characteristic facies; Boomerang-like skeletal dysplasia",same,Generalized hypoplasia of dental enamel
12975,"Dwarfism with short, bowed, rigid limbs and characteristic facies; Boomerang-like skeletal dysplasia",same,Moderate postnatal growth retardation
12976,"Dwarfism with short, bowed, rigid limbs and characteristic facies; Boomerang-like skeletal dysplasia",same,Abnormality of the helix
12977,"Mitochondrial encephalomyopathy aminoacidopathy; Mitochondrial dna depletion syndrome, encephalomyopathic form with methylmalonic aciduria, autosomal recessive; Booth-Haworth-Dilling syndrome;",same,Abnormal eyelash morphology
12978,"Mitochondrial encephalomyopathy aminoacidopathy; Mitochondrial dna depletion syndrome, encephalomyopathic form with methylmalonic aciduria, autosomal recessive; Booth-Haworth-Dilling syndrome;",same,Comedo
12979,"Mitochondrial encephalomyopathy aminoacidopathy; Mitochondrial dna depletion syndrome, encephalomyopathic form with methylmalonic aciduria, autosomal recessive; Booth-Haworth-Dilling syndrome;",same,Woolly hair
12980,"Mitochondrial encephalomyopathy aminoacidopathy; Mitochondrial dna depletion syndrome, encephalomyopathic form with methylmalonic aciduria, autosomal recessive; Booth-Haworth-Dilling syndrome;",same,Short corpus callosum
12981,"Mitochondrial encephalomyopathy aminoacidopathy; Mitochondrial dna depletion syndrome, encephalomyopathic form with methylmalonic aciduria, autosomal recessive; Booth-Haworth-Dilling syndrome;",same,Leukonychia
12982,"Mitochondrial encephalomyopathy aminoacidopathy; Mitochondrial dna depletion syndrome, encephalomyopathic form with methylmalonic aciduria, autosomal recessive; Booth-Haworth-Dilling syndrome;",same,Keratosis pilaris
12983,"Mitochondrial encephalomyopathy aminoacidopathy; Mitochondrial dna depletion syndrome, encephalomyopathic form with methylmalonic aciduria, autosomal recessive; Booth-Haworth-Dilling syndrome;",same,Brittle hair
12984,"Mitochondrial encephalomyopathy aminoacidopathy; Mitochondrial dna depletion syndrome, encephalomyopathic form with methylmalonic aciduria, autosomal recessive; Booth-Haworth-Dilling syndrome;",same,Congenital alopecia totalis
12985,"Mitochondrial encephalomyopathy aminoacidopathy; Mitochondrial dna depletion syndrome, encephalomyopathic form with methylmalonic aciduria, autosomal recessive; Booth-Haworth-Dilling syndrome;",same,Subcapsular cataract
12986,"Mitochondrial encephalomyopathy aminoacidopathy; Mitochondrial dna depletion syndrome, encephalomyopathic form with methylmalonic aciduria, autosomal recessive; Booth-Haworth-Dilling syndrome;",same,Multinodular goiter
12987,"Mitochondrial encephalomyopathy aminoacidopathy; Mitochondrial dna depletion syndrome, encephalomyopathic form with methylmalonic aciduria, autosomal recessive; Booth-Haworth-Dilling syndrome;",same,Chronic active hepatitis
12988,"Mitochondrial encephalomyopathy aminoacidopathy; Mitochondrial dna depletion syndrome, encephalomyopathic form with methylmalonic aciduria, autosomal recessive; Booth-Haworth-Dilling syndrome;",same,Abnormality of the hand
12989,"Mitochondrial encephalomyopathy aminoacidopathy; Mitochondrial dna depletion syndrome, encephalomyopathic form with methylmalonic aciduria, autosomal recessive; Booth-Haworth-Dilling syndrome;",same,Typical absence seizure
12990,Branchiootorenal dysplasia; Melnick-Fraser syndrome; Branchio oto renal syndrome;,same,Precocious puberty in females
12991,Branchiootorenal dysplasia; Melnick-Fraser syndrome; Branchio oto renal syndrome;,same,Thickened ears
12992,Branchiootorenal dysplasia; Melnick-Fraser syndrome; Branchio oto renal syndrome;,same,Testicular fibrosis
12993,Branchiootorenal dysplasia; Melnick-Fraser syndrome; Branchio oto renal syndrome;,same,Severe sensorineural hearing impairment
12994,Branchiootorenal dysplasia; Melnick-Fraser syndrome; Branchio oto renal syndrome;,same,Recurrent cystitis
12995,Branchiootorenal dysplasia; Melnick-Fraser syndrome; Branchio oto renal syndrome;,same,Primary hypothyroidism
12996,Branchiootorenal dysplasia; Melnick-Fraser syndrome; Branchio oto renal syndrome;,same,Poor fine motor coordination
12997,Branchiootorenal dysplasia; Melnick-Fraser syndrome; Branchio oto renal syndrome;,same,Myocardial fibrosis
12998,Branchiootorenal dysplasia; Melnick-Fraser syndrome; Branchio oto renal syndrome;,same,Hyoplasia of the Leydig cells
12999,Branchiootorenal dysplasia; Melnick-Fraser syndrome; Branchio oto renal syndrome;,same,Frontal balding
13000,Branchiootorenal dysplasia; Melnick-Fraser syndrome; Branchio oto renal syndrome;,same,Epigastric pain
13001,Branchiootorenal dysplasia; Melnick-Fraser syndrome; Branchio oto renal syndrome;,same,Detrusor sphincter dyssynergia
13002,Branchiootorenal dysplasia; Melnick-Fraser syndrome; Branchio oto renal syndrome;,same,Delayed ability to stand
13003,Branchiootorenal dysplasia; Melnick-Fraser syndrome; Branchio oto renal syndrome;,same,Delayed ability to sit
13004,Branchio-Oto-Renal Duane hydrocephalus contiguous gene syndrome,same,Decreased circulating T4 level
13005,"Bork syndrome; Uncombable hair, retinal pigmentary dystrophy, dental anomalies, and brachydactyly",same,Abnormality of dental color
13006,"Bork syndrome; Uncombable hair, retinal pigmentary dystrophy, dental anomalies, and brachydactyly",same,Abnormal coronary artery physiology
13007,Borreliosis; Lyme borreliosis,same,Thoracic scoliosis
13008,"Dermatoosteopoikilosis; BOS; Dermatofibrosis, disseminated with osteopoikilosis;",same,Retinal pigment epithelial atrophy
13009,"Dermatoosteopoikilosis; BOS; Dermatofibrosis, disseminated with osteopoikilosis;",same,Receptive language delay
13010,"Dermatoosteopoikilosis; BOS; Dermatofibrosis, disseminated with osteopoikilosis;",same,Optic disc pallor
13011,"Dermatoosteopoikilosis; BOS; Dermatofibrosis, disseminated with osteopoikilosis;",same,Lumbar scoliosis
13012,Tuberous sclerosis; Bourneville syndrome,same,Dorsocervical fat pad
13013,Tuberous sclerosis; Bourneville syndrome,same,Abnormal liver physiology
13014,Tuberous sclerosis; Bourneville syndrome,same,Nasal polyposis
13015,Tuberous sclerosis; Bourneville syndrome,same,Endocarditis
13016,Tuberous sclerosis; Bourneville syndrome,same,Abnormal pleura morphology
13017,Tuberous sclerosis; Bourneville syndrome,same,Type II transferrin isoform profile
13018,Tuberous sclerosis; Bourneville syndrome,same,Thoracolumbar kyphoscoliosis
13019,Tuberous sclerosis; Bourneville syndrome,same,Reduced factor XII activity
13020,Tuberous sclerosis; Bourneville syndrome,same,Reduced factor IX activity
13021,Tuberous sclerosis; Bourneville syndrome,same,Midfrontal capillary hemangioma
13022,Tuberous sclerosis; Bourneville syndrome,same,Macrodontia
13023,Tuberous sclerosis; Bourneville syndrome,same,Low hanging columella
13024,Tuberous sclerosis; Bourneville syndrome,same,Diastema
13025,Tuberous sclerosis; Bourneville syndrome,same,Abnormal rib cage morphology
13026,Tuberous sclerosis; Bourneville syndrome,same,Skin plaque
13027,Tuberous sclerosis; Bourneville syndrome,same,Epileptic encephalopathy
13028,Weismann Netter syndrome; Toxopachyosteose diaphysaire tibio-peroniere; WNS,same,Protein-losing enteropathy
13029,Weismann Netter syndrome; Toxopachyosteose diaphysaire tibio-peroniere; WNS,same,Abnormal isoelectric focusing of serum transferrin
13030,"Bowing of the femurs, aplasia or hypoplasia of the fibula, and digital anomalies; Fibular aplasia or hypoplasia, femoral bowing and poly-, syn-, and oligodactyly",same,Abnormal renal tubule morphology
13031,"Bowing, congenital, with short bones; Congenital bowing with short bones",same,Reduced factor XI activity
13032,"Bowing, congenital, with short bones; Congenital bowing with short bones",same,Reduced antithrombin III activity
13033,"Bowing, congenital, with short bones; Congenital bowing with short bones",same,Elevated serum transaminases during infections
13034,BPD,same,Villous atrophy
13035,"Brachial amelia, cleft lip, and forebrain defects",same,Food intolerance
13036,"Brachial amelia, cleft lip, and forebrain defects",same,Decreased light- and dark-adapted electroretinogram amplitude
13037,BSG syndrome; Branchioskeletogenital syndrome; Elsahy-Waters syndrome;,same,Clinodactyly of the 5th toe
13038,BSG syndrome; Branchioskeletogenital syndrome; Elsahy-Waters syndrome;,same,Abnormality of the amniotic fluid
13039,BSG syndrome; Branchioskeletogenital syndrome; Elsahy-Waters syndrome;,same,Horizontal nystagmus
13040,BSG syndrome; Branchioskeletogenital syndrome; Elsahy-Waters syndrome;,same,Abnormality of lateral ventricle
13041,BSG syndrome; Branchioskeletogenital syndrome; Elsahy-Waters syndrome;,same,Hypsarrhythmia
13042,BSG syndrome; Branchioskeletogenital syndrome; Elsahy-Waters syndrome;,same,Patent foramen ovale
13043,BSG syndrome; Branchioskeletogenital syndrome; Elsahy-Waters syndrome;,same,Widened subarachnoid space
13044,BSG syndrome; Branchioskeletogenital syndrome; Elsahy-Waters syndrome;,same,Inverted nipples
13045,BSG syndrome; Branchioskeletogenital syndrome; Elsahy-Waters syndrome;,same,Hypokinesia
13046,Brachmann de Lange syndrome; CDLS; De Lange syndrome;,same,Episodic vomiting
13047,Brachmann de Lange syndrome; CDLS; De Lange syndrome;,same,EEG with burst suppression
13048,Brachmann de Lange syndrome; CDLS; De Lange syndrome;,same,Decreased corneal reflex
13049,Brachmann de Lange syndrome; CDLS; De Lange syndrome;,same,Cerebral white matter atrophy
13050,Brachmann de Lange syndrome; CDLS; De Lange syndrome;,same,Abnormal adipose tissue morphology
13051,Brachydactyly and intraventricular conduction defect; Upper limb malformations and congenital cardiac anomalies,same,Type I transferrin isoform profile
13052,Liebenberg syndrome; brachydactyly with joint dysplasia; carpal synostosis with dysplastic elbow joints and brachydactyly,same,Progressive macrocephaly
13053,Liebenberg syndrome; brachydactyly with joint dysplasia; carpal synostosis with dysplastic elbow joints and brachydactyly,same,Reduced lymphocyte surface expression of CD43
13054,Liebenberg syndrome; brachydactyly with joint dysplasia; carpal synostosis with dysplastic elbow joints and brachydactyly,same,Recurrent lower respiratory tract infections
13055,Liebenberg syndrome; brachydactyly with joint dysplasia; carpal synostosis with dysplastic elbow joints and brachydactyly,same,Oral bleeding
13056,Skeletal dysplasia brachydactyly; Mononen Karnes Senac syndrome; Thumbs and great toes short and abducted,same,Iron deficiency anemia
13057,Skeletal dysplasia brachydactyly; Mononen Karnes Senac syndrome; Thumbs and great toes short and abducted,same,Decreased specific anti-polysaccharide antibody level
13058,Skeletal dysplasia brachydactyly; Mononen Karnes Senac syndrome; Thumbs and great toes short and abducted,same,Decreased mean platelet volume
13059,Skeletal dysplasia brachydactyly; Mononen Karnes Senac syndrome; Thumbs and great toes short and abducted,same,Absent microvilli on the surface of peripheral blood lymphocytes
13060,Skeletal dysplasia brachydactyly; Mononen Karnes Senac syndrome; Thumbs and great toes short and abducted,same,Abnormal delayed hypersensitivity skin test
13061,Brachydactyly of the hands and feet with duplication of the first toes; Brachydactyly with major proximal phalangeal shortening,same,Recurrent intrapulmonary hemorrhage
13062,Brachydactyly of the hands and feet with duplication of the first toes; Brachydactyly with major proximal phalangeal shortening,same,Glomerulopathy
13063,Brachydactyly of the hands and feet with duplication of the first toes; Brachydactyly with major proximal phalangeal shortening,same,Chronic leukemia
13064,Dominant preaxial brachydactyly with hallux varus and thumb abduction,same,Acute leukemia
13065,Brachydactyly Smorgasbord type,same,Hematemesis
13066,Brachydactyly Smorgasbord type,same,Spontaneous hematomas
13067,Brachydactyly Smorgasbord type,same,Abnormal platelet morphology
13068,Brachydactyly Smorgasbord type,same,Constriction of peripheral visual field
13069,,same,Transient aminoaciduria
13070,,same,Proximal tubulopathy
13071,Type E brachydactyly,same,Proximal renal tubular acidosis
13072,Type E brachydactyly,same,Hyperuricosuria
13073,Type E brachydactyly,same,Glycosuria
13074,Type E brachydactyly,same,Fructose intolerance
13075,Brachydactyly-distal symphalangism syndrome,same,Bicarbonaturia
13076,Brachydactyly-distal symphalangism syndrome,same,Reactive hypoglycemia
13077,Brachydactyly-distal symphalangism syndrome,same,Hypermagnesemia
13078,Brachydactyly-distal symphalangism syndrome,same,Episodic hyperhidrosis
13079,Brachydactyly-distal symphalangism syndrome,same,Chronic hepatic failure
13080,Brachydactyly-distal symphalangism syndrome,same,Reduced aldolase level
13081,Brachydactyly-distal symphalangism syndrome,same,Low posterior hairline
13082,Stratton-Garcia-Young syndrome,same,Cholelithiasis
13083,Stratton-Garcia-Young syndrome,same,Cholecystitis
13084,MOPD 1; Microcephalic osteodysplastic primordial dwarfism types 1 and 3; Osteodysplastic primordial dwarfism type I;,same,Agoraphobia
13085,MOPD 1; Microcephalic osteodysplastic primordial dwarfism types 1 and 3; Osteodysplastic primordial dwarfism type I;,same,Personality disorder
13086,MOPD 1; Microcephalic osteodysplastic primordial dwarfism types 1 and 3; Osteodysplastic primordial dwarfism type I;,same,Spinal myoclonus
13087,MOPD 1; Microcephalic osteodysplastic primordial dwarfism types 1 and 3; Osteodysplastic primordial dwarfism type I;,same,Hyperparathyroidism
13088,MOPD 1; Microcephalic osteodysplastic primordial dwarfism types 1 and 3; Osteodysplastic primordial dwarfism type I;,same,Hyperphosphaturia
13089,MOPD 1; Microcephalic osteodysplastic primordial dwarfism types 1 and 3; Osteodysplastic primordial dwarfism type I;,same,Cutaneous myxoma
13090,MOPD 1; Microcephalic osteodysplastic primordial dwarfism types 1 and 3; Osteodysplastic primordial dwarfism type I;,same,Aneurysmal bone cyst
13091,"Brachyphalangy, polydactyly and absent tibiae",same,Renal phosphate wasting
13092,"Brachyphalangy, polydactyly and absent tibiae",same,Polyostotic fibrous dysplasia
13093,"Brachyphalangy, polydactyly and absent tibiae",same,Osteomalacia
13094,Bradbury Eggleston syndrome; Bradbury-Eggleston syndrome; Orthostatic hypotension (a symptom);,same,Hyperplasia of the Leydig cells
13095,Zhu-Tokita-Takenouchi-Kim syndrome; Brain malformations-musculoskeletal abnormalities-facial dysmorphism-intellectual disability syndrome,same,Hepatocellular adenoma
13096,Zhu-Tokita-Takenouchi-Kim syndrome; Brain malformations-musculoskeletal abnormalities-facial dysmorphism-intellectual disability syndrome,same,Bone fracture
13097,Zhu-Tokita-Takenouchi-Kim syndrome; Brain malformations-musculoskeletal abnormalities-facial dysmorphism-intellectual disability syndrome,same,Benign gastrointestinal tract tumors
13098,Zhu-Tokita-Takenouchi-Kim syndrome; Brain malformations-musculoskeletal abnormalities-facial dysmorphism-intellectual disability syndrome,same,Renal tubular dysfunction
13099,Zhu-Tokita-Takenouchi-Kim syndrome; Brain malformations-musculoskeletal abnormalities-facial dysmorphism-intellectual disability syndrome,same,Monostotic fibrous dysplasia
13100,Zhu-Tokita-Takenouchi-Kim syndrome; Brain malformations-musculoskeletal abnormalities-facial dysmorphism-intellectual disability syndrome,same,Abnormality of the skull base
13101,Zhu-Tokita-Takenouchi-Kim syndrome; Brain malformations-musculoskeletal abnormalities-facial dysmorphism-intellectual disability syndrome,same,Abnormality of facial skeleton
13102,Zhu-Tokita-Takenouchi-Kim syndrome; Brain malformations-musculoskeletal abnormalities-facial dysmorphism-intellectual disability syndrome,same,Ovarian cyst
13103,Zhu-Tokita-Takenouchi-Kim syndrome; Brain malformations-musculoskeletal abnormalities-facial dysmorphism-intellectual disability syndrome,same,Large cafe-au-lait macules with irregular margins
13104,Zhu-Tokita-Takenouchi-Kim syndrome; Brain malformations-musculoskeletal abnormalities-facial dysmorphism-intellectual disability syndrome,same,Abnormal endocrine physiology
13105,Zhu-Tokita-Takenouchi-Kim syndrome; Brain malformations-musculoskeletal abnormalities-facial dysmorphism-intellectual disability syndrome,same,Self-injurious behavior
13106,Malignant tumors of the central nervous system associated with familial polyposis of the colon; CNS tumors with Familial polyposis of the colon; Mismatch Repair Cancer Syndrome;,same,Subvalvular aortic stenosis
13107,Malignant tumors of the central nervous system associated with familial polyposis of the colon; CNS tumors with Familial polyposis of the colon; Mismatch Repair Cancer Syndrome;,same,Broad columella
13108,PLOSL; Nasu-Hakola disease; NHD;,same,Reduced circulating prolactin concentration
13109,PLOSL; Nasu-Hakola disease; NHD;,same,Hypocalcemic seizures
13110,PLOSL; Nasu-Hakola disease; NHD;,same,Elevated calcitonin
13111,PLOSL; Nasu-Hakola disease; NHD;,same,Spinal cord compression
13112,Branchial dysplasia clubfoot inguinal hernia and biliary atresia,same,Short 3rd metacarpal
13113,Dentinogenesis imperfecta type III; Brandywine type dentinogenesis imperfecta; Dentinogenesis imperfecta Shields type 3 ;,same,Prolonged QT interval
13114,Dentinogenesis imperfecta type III; Brandywine type dentinogenesis imperfecta; Dentinogenesis imperfecta Shields type 3 ;,same,Osteoma cutis
13115,"Brauer-Buschke-Fischer syndrome; Keratodermia palmoplantaris papulosa, Buschke-Fischer-Brauer type; Type I punctate palmoplantar keratoderma;",same,Myoclonic spasms
13116,"Brauer-Buschke-Fischer syndrome; Keratodermia palmoplantaris papulosa, Buschke-Fischer-Brauer type; Type I punctate palmoplantar keratoderma;",same,Hypocalcemic tetany
13117,"Brauer-Buschke-Fischer syndrome; Keratodermia palmoplantaris papulosa, Buschke-Fischer-Brauer type; Type I punctate palmoplantar keratoderma;",same,Hyperostosis frontalis interna
13118,"Brauer-Buschke-Fischer syndrome; Keratodermia palmoplantaris papulosa, Buschke-Fischer-Brauer type; Type I punctate palmoplantar keratoderma;",same,Hypergonadotropic hypogonadism
13119,"Brauer-Buschke-Fischer syndrome; Keratodermia palmoplantaris papulosa, Buschke-Fischer-Brauer type; Type I punctate palmoplantar keratoderma;",same,Abnormal platelet function
13120,Familial susceptibility to breast-ovarian cancer 1; BROVCA1,same,Abdominal symptom
13121,Familial susceptibility to breast-ovarian cancer 1; BROVCA1,same,Short fifth metatarsal
13122,Familial susceptibility to breast-ovarian cancer 1; BROVCA1,same,Short 5th metacarpal
13123,OI; Brittle bone disease; Vrolik disease;,same,Choroid plexus calcification
13124,OI; Brittle bone disease; Vrolik disease;,same,Broad 1st metacarpal
13125,OI; Brittle bone disease; Vrolik disease;,same,Pituitary resistance to thyroid hormone
13126,OI; Brittle bone disease; Vrolik disease;,same,Low urinary cyclic AMP response to PTH administration
13127,EDS VIB (formerly); Ehlers-Danlos syndrome type 6B (formerly); Fragilitas oculi with joint hyperextensibility;,same,Pseudohypoparathyroidism
13128,EDS VIB (formerly); Ehlers-Danlos syndrome type 6B (formerly); Fragilitas oculi with joint hyperextensibility;,same,Aplasia/Hypoplasia of the distal phalanges of the toes
13129,EDS VIB (formerly); Ehlers-Danlos syndrome type 6B (formerly); Fragilitas oculi with joint hyperextensibility;,same,Bilateral sensorineural hearing impairment
13130,,same,Prolonged bleeding time
13131,,same,Hematochezia
13132,,same,Colitis
13133,,same,Abnormal thrombocyte morphology
13134,,same,Nystagmus-induced head nodding
13135,,same,Giant melanosomes in melanocytes
13136,,same,Adult onset sensorineural hearing impairment
13137,,same,Patchy hypo- and hyperpigmentation
13138,,same,Congenital sensorineural hearing impairment
13139,,same,Heterochromia iridis
13140,,same,Piebaldism
13141,,same,Partial albinism
13142,,same,Freckles in sun-exposed areas
13143,,same,Squamous cell carcinoma of the skin
13144,,same,Melanoma
13145,BRKS2,same,Basal cell carcinoma
13146,Hyperlipoproteinemia type 3; Hyperlipoproteinemia type III; Broad-betalipoproteinemia;,same,Absent skin pigmentation
13147,Hyperlipoproteinemia type 3; Hyperlipoproteinemia type III; Broad-betalipoproteinemia;,same,Actinic keratosis
13148,Hyperlipoproteinemia type 3; Hyperlipoproteinemia type III; Broad-betalipoproteinemia;,same,White eyelashes
13149,Macrogyria; Broad gyri of cerebrum; Large gyri of cerebrum,same,White eyebrow
13150,Rubinstein syndrome; RSTS; Broad thumb-hallux syndrome;,same,Optic nerve misrouting
13151,Rubinstein syndrome; RSTS; Broad thumb-hallux syndrome;,same,Iris transillumination defect
13152,Rubinstein syndrome; RSTS; Broad thumb-hallux syndrome;,same,Generalized hypopigmentation of hair
13153,Rubinstein syndrome; RSTS; Broad thumb-hallux syndrome;,same,Generalized hypopigmentation
13154,Rubinstein syndrome; RSTS; Broad thumb-hallux syndrome;,same,Depigmented fundus
13155,Rubinstein syndrome; RSTS; Broad thumb-hallux syndrome;,same,Abnormal morphology of the choroidal vasculature
13156,Rubinstein syndrome; RSTS; Broad thumb-hallux syndrome;,same,Hip osteoarthritis
13157,Rubinstein syndrome; RSTS; Broad thumb-hallux syndrome;,same,Fractures of the long bones
13158,Rubinstein syndrome; RSTS; Broad thumb-hallux syndrome;,same,Facial paralysis
13159,Rubinstein syndrome; RSTS; Broad thumb-hallux syndrome;,same,Elevated serum acid phosphatase
13160,Rubinstein syndrome; RSTS; Broad thumb-hallux syndrome;,same,Abnormality of the vertebral endplates
13161,Rubinstein syndrome; RSTS; Broad thumb-hallux syndrome;,same,Mandibular osteomyelitis
13162,Brody disease; Sarcoplasmic reticulum -Ca2+ATPase deficiency,same,Generalized osteosclerosis
13163,,same,Abnormal chorioretinal morphology
13164,Pontobulbar palsy and neurosensory deafness; BVVLS; Pontobulbar palsy with deafness;,same,Sclerotic vertebral endplates
13165,Malta fever; Undulant fever; Rock fever;,same,Sandwich appearance of vertebral bodies
13166,Malta fever; Undulant fever; Rock fever;,same,Osteopetrosis
13167,Malta fever; Undulant fever; Rock fever;,same,Hypophosphatemia
13168,Malta fever; Undulant fever; Rock fever;,same,Abnormality of vertebral epiphysis morphology
13169,Malta fever; Undulant fever; Rock fever;,same,Abnormal pelvis bone ossification
13170,Malta fever; Undulant fever; Rock fever;,same,Alaninuria
13171,Malta fever; Undulant fever; Rock fever;,same,Retinal crystals
13172,Malta fever; Undulant fever; Rock fever;,same,Peripheral arterial stenosis
13173,Malta fever; Undulant fever; Rock fever;,same,Optic neuropathy
13174,Malta fever; Undulant fever; Rock fever;,same,Intermittent claudication
13175,"Right bundle branch block, ST segment elevation, and sudden death syndrome; Sudden unexpected nocturnal death syndrome",same,Calcium oxalate nephrolithiasis
13176,"Right bundle branch block, ST segment elevation, and sudden death syndrome; Sudden unexpected nocturnal death syndrome",same,Calcinosis cutis
13177,"Right bundle branch block, ST segment elevation, and sudden death syndrome; Sudden unexpected nocturnal death syndrome",same,Atrioventricular block
13178,"Right bundle branch block, ST segment elevation, and sudden death syndrome; Sudden unexpected nocturnal death syndrome",same,Arterial occlusion
13179,,same,Metabolic acidosis
13180,Brunner syndrome,same,Hyperoxaluria
13181,Brunner syndrome,same,Calcinosis
13182,Membranous obstruction of the inferior vena cava,same,Abnormality of circulating enzyme level
13183,Spinal and bulbar muscular atrophy; X-linked spinal and bulbar muscular atrophy; Bulbospinal muscular atrophy;,same,Multiple small medullary renal cysts
13184,"Poikiloderma, hereditary acrokeratotic; Bullous acrokeratotic poikiloderma of kindler and weary; Poikiloderma, congenital, with bullae, weary type;",same,Exocrine pancreatic insufficiency
13185,"Poikiloderma, hereditary acrokeratotic; Bullous acrokeratotic poikiloderma of kindler and weary; Poikiloderma, congenital, with bullae, weary type;",same,Chorioretinal atrophy
13186,"Poikiloderma, hereditary acrokeratotic; Bullous acrokeratotic poikiloderma of kindler and weary; Poikiloderma, congenital, with bullae, weary type;",same,Axenfeld anomaly
13187,"Poikiloderma, hereditary acrokeratotic; Bullous acrokeratotic poikiloderma of kindler and weary; Poikiloderma, congenital, with bullae, weary type;",same,Renal artery stenosis
13188,Burton syndrome,same,Duplicated collecting system
13189,Buttiens Fryns syndrome,same,Peripheral pulmonary artery stenosis
13190,Opitz trigonocephaly syndrome; Trigonocephaly C syndrome; Trigonocephaly syndrome,same,Keratoconus
13191,Opitz trigonocephaly syndrome; Trigonocephaly C syndrome; Trigonocephaly syndrome,same,Butterfly vertebral arch
13192,Opitz trigonocephaly syndrome; Trigonocephaly C syndrome; Trigonocephaly syndrome,same,Reduced number of intrahepatic bile ducts
13193,"Cerebral amyloid angiopathy; HCHWA; CAA, familial;",same,Cholestasis
13194,"Cerebral amyloid angiopathy; HCHWA; CAA, familial;",same,Sunken cheeks
13195,"Cerebral amyloid angiopathy; HCHWA; CAA, familial;",same,Perivascular spaces
13196,"Intellectual disability, X-linked, syndromic 15; CUL4B-related X-linked intellectual disability; X-linked intellectual disability, Cabezas type;",same,Decreased CSF albumin concentration
13197,"Intellectual disability, X-linked, syndromic 15; CUL4B-related X-linked intellectual disability; X-linked intellectual disability, Cabezas type;",same,Decreased CSF 5-hydroxyindolacetic acid
13198,Childhood ataxia with diffuse central nervous system hypomyelination; CACH syndrome; CACH/VWM syndrome;,same,Decreased body weight
13199,"Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy; Dementia, hereditary multi-infarct type; Familial vascular leukoencephalopathy;",same,Alacrima
13200,"Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy; Dementia, hereditary multi-infarct type; Familial vascular leukoencephalopathy;",same,Action tremor
13201,"Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy; Dementia, hereditary multi-infarct type; Familial vascular leukoencephalopathy;",same,Suck reflex
13202,"Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy; Dementia, hereditary multi-infarct type; Familial vascular leukoencephalopathy;",same,Reduced brain N-acetyl aspartate level by MRS
13203,"Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy; Dementia, hereditary multi-infarct type; Familial vascular leukoencephalopathy;",same,Reduced brain glutamine level by MRS
13204,CDG1Z; Congenital disorder of glycosylation type 1z; CDG syndrome type Iz;,same,Pain insensitivity
13205,CDG1Z; Congenital disorder of glycosylation type 1z; CDG syndrome type Iz;,same,Intrinsic hand muscle atrophy
13206,"Dehydratase deficiency; Hyperphenylalaninemia with Primapterinuria; Hyperphenylalaninemia, BH4-deficient, D;",same,Impaired oropharyngeal swallow response
13207,"Dehydratase deficiency; Hyperphenylalaninemia with Primapterinuria; Hyperphenylalaninemia, BH4-deficient, D;",same,Impaired oral bolus formation
13208,Infantile cortical hyperostosis,same,High myoinositol in brain by MRS
13209,Infantile cortical hyperostosis,same,Elevated brain choline level by MRS
13210,CAH,same,Elevated alpha-fetoprotein
13211,Calcaneonavicular coalition,same,Decreased CSF/serum albumin ratio
13212,Calcaneonavicular coalition,same,Pigmentation of the sclera
13213,Pilomatricoma; PTR; Calcifying epithelioma of Malherbe,same,Intervertebral disc degeneration
13214,CCAL2; Chondrocalcinosis familial articular; Familial articular chondrocalcinosis;,same,Arthropathy
13215,LGMD2A; Calpainopathy; Limb-girdle muscular dystrophy type 2;,same,Atherosclerosis
13216,LGMD2A; Calpainopathy; Limb-girdle muscular dystrophy type 2;,same,Thickened Achilles tendon
13217,Holoprosencephaly craniosynostosis; Camera Lituania Cohen syndrome; Semilobar holoprosencephaly and primary craniosynostosis,same,Tendon rupture
13218,CMPD; CMPD1; CMD1;,same,Abnormality of the nose
13219,CMPD; CMPD1; CMD1;,same,Intervertebral disk calcification
13220,CMPD; CMPD1; CMD1;,same,Coronary artery calcification
13221,CMPD; CMPD1; CMD1;,same,Calcification of cartilage
13222,CMPD; CMPD1; CMD1;,same,Aminoaciduria
13223,CMPD; CMPD1; CMD1;,same,Abnormality of the endocrine system
